Comment,Designator,Footprint,LCSC
TFT_320x240,U1,TFT-320x240,
~,ENC1,EC12PLRGBSDVBF_DIP,
C_Polarized_Small,C1,CP_Radial_D5.0mm_P2.50mm,
Pico,U3,RPi_Pico_SMD_TH,
SW_Push,SW1,SW_PUSH_6mm_H4.3mm,
Conn_01x03,J4,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,
R_Small,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
R_Small,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
R_Small,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
1000p,C4,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1000p,C3,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
Conn_01x04,J1,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,
10k,R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
Conn_01x04,J5,GROVE-HW4-2.0-90D,
~,SW2,TTP223,
Conn_01x03,J2,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,
