Comment,Designator,Footprint,LCSC
Conn_01x03,J3,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,
DATA_IN,J6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,
470,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
0.1u,C8,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
~,LT1,LT8640,
100u,C4,CP_Radial_D6.3mm_P2.50mm,
0.33uF,C1,C_Disc_D3.0mm_W1.6mm_P2.50mm,
33uF,C2,CP_Radial_D5.0mm_P2.00mm,
0.1u,C3,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1u,C10,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
220,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
RED LED,D1,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm,
Conn_01x03,J4,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,
220,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
Conn_01x03,J5,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,
~,LT2,LT8640,
SeeeduinoXIAO RP2040,U1,XIAO RP2040,
Conn_01x03,J2,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,
100u,C5,CP_Radial_D6.3mm_P2.50mm,
0.1u,C6,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
Conn_01x02,J1,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,
~,LDO1,TO-220-3_Horizontal_TabDown,
