Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.33uF,C_Disc_D3.0mm_W1.6mm_P2.50mm,66.04,-62.25,90.0,top
C10,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,39.624,-84.963,0.0,top
C11,10u,C_Disc_D6.0mm_W4.4mm_P5.00mm,126.2996,-61.2394,180.0,top
C12,10u,C_Disc_D6.0mm_W4.4mm_P5.00mm,126.4012,-41.6052,180.0,top
C13,0.01u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100.5575,-58.42,0.0,top
C14,0.01u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,97.1285,-48.387,0.0,bottom
C15,0.01u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,90.17,-58.42,0.0,top
C16,0.01u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,89.8652,-48.2335,90.0,bottom
C2,33uF,CP_Radial_D5.0mm_P2.00mm,41.64,-53.975,180.0,top
C3,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,43.434,-67.437,180.0,top
C4,100u,CP_Radial_D6.3mm_P2.50mm,29.464,-66.401,90.0,top
C5,100u,CP_Radial_D6.3mm_P2.50mm,50.8,-87.61,90.0,top
C6,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,53.086,-68.961,90.0,top
C7,100u,CP_Radial_D6.3mm_P2.50mm,109.855,-177.82,90.0,top
C8,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,48.514,-77.597,-90.0,top
C9,100u,CP_Radial_D6.3mm_P2.50mm,83.84,-22.86,0.0,top
D1,RED LED,LED_D5.0mm,29.464,-58.801,90.0,top
DCDC1,~,CERDIP-8_W7.62mm_SideBrazed_Socket,126.3866,-51.4858,180.0,top
FB1,100R,L_Walsin_WLFM201209x,111.506,-185.039,0.0,top
FB2,100R,L_Walsin_WLFM201209x,97.155,-50.165,180.0,bottom
FB3,100R,L_Walsin_WLFM201209x,77.47,-58.42,180.0,top
FL1,BNX012-01,BNX012H01_MUR,87.65,-158.115,90.0,top
Gyro1,~,BNO055,41.275,-163.195,0.0,top
J1,Conn_01x02,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,41.8964,-92.8238,180.0,bottom
J10,Conn_02x10,PinHeader_2x10_P2.54mm_Vertical,88.9,-68.58,90.0,top
J11,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,36.195,-43.18,180.0,top
J12,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,40.005,-43.165,180.0,top
J13,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,43.815,-43.18,180.0,top
J14,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,47.625,-43.165,180.0,top
J15,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,43.053,-176.53,180.0,top
J16,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,38.735,-176.53,180.0,top
J17,Conn_01x05,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,114.935,-29.7834,-90.0,top
J18,Conn_01x05,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,52.578,-28.7058,90.0,top
J19,Conn_01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,138.43,-154.365,-90.0,top
J2,Conn_01x03,JST_EH_S3B-EH_1x03_P2.50mm_Horizontal,50.8,-67.397,90.0,bottom
J20,Conn_01x04,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,79.6706,-97.31,180.0,bottom
J21,Conn_01x04,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,93.6406,-97.31,180.0,bottom
J3,Conn_01x03,JST_EH_S3B-EH_1x03_P2.50mm_Horizontal,41.95,-69.58,0.0,bottom
J4,Conn_01x03,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,41.9354,-75.43,0.0,top
J5,Conn_01x03,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,41.9354,-81.28,0.0,top
J6,Conn_01x05_Pin,PinHeader_1x05_P2.54mm_Vertical,117.094,-116.459,180.0,top
J9,Conn_01x03,JST_VH_B3PS-VH_1x03_P3.96mm_Horizontal,80.01,-172.235,270.0,bottom
LDO1,~,TO-220-3_Horizontal_TabDown,59.69,-69.325,180.0,top
LT1,~,LT8640,59.69,-67.31,-90.0,top
LT2,~,LT8640,59.69,-88.265,-90.0,top
Pi1,RASPBERRY_PI_4B_4GB,Raspberry Pi 5,109.855,-132.969,0.0,top
R1,470,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,35.052,-78.613,90.0,top
R10,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,59.055,-56.515,0.0,top
R2,220,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,45.466,-63.9845,90.0,top
R3,220,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,30.3295,-54.737,180.0,top
R4,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,47.625,-35.052,-90.0,top
R5,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,123.952,-35.56,-90.0,top
R6,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,46.101,-182.9816,90.0,top
R7,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,110.1363,-161.163,0.0,top
R8,50,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,107.8484,-43.8404,-90.0,top
R9,50,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,108.0008,-55.8546,-90.0,top
SW1,SW_Push,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,45.339,-28.936,90.0,top
