Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,RPR-220,PHODET_RPR-220,136.020886,-82.42,90.0,bottom
A10,RPR-220,PHODET_RPR-220,48.310886,-88.77,90.0,bottom
A11,RPR-220,PHODET_RPR-220,42.000886,-82.42,90.0,bottom
A2,RPR-220,PHODET_RPR-220,129.710886,-88.77,90.0,bottom
A3,RPR-220,PHODET_RPR-220,119.510886,-88.77,90.0,bottom
A4,RPR-220,PHODET_RPR-220,109.350886,-88.77,90.0,bottom
A5,RPR-220,PHODET_RPR-220,99.190886,-88.77,90.0,bottom
A6,RPR-220,PHODET_RPR-220,88.990886,-88.77,90.0,bottom
A7,RPR-220,PHODET_RPR-220,78.830886,-88.77,90.0,bottom
A8,RPR-220,PHODET_RPR-220,68.630886,-88.77,90.0,bottom
A9,RPR-220,PHODET_RPR-220,58.470886,-88.77,90.0,bottom
C1,47u,CP_Radial_D5.0mm_P2.00mm,85.180886,-98.057,-90.0,top
C2,0.33u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,69.940886,-98.93,90.0,top
FB1,100R,L_Walsin_WLFM201209x,69.940886,-107.82,90.0,top
J1,Conn_02x10,PinHeader_2x10_P2.54mm_Vertical,88.990886,-107.82,90.0,top
J2,Conn_01x06,PinSocket_2x03_P2.54mm_Vertical,62.320886,-76.705,0.0,top
J3,ColorSensor,PinSocket_2x04_P2.54mm_Vertical,115.660886,-76.07,0.0,top
J4,ColorSensor,PinHeader_2x04_P2.54mm_Vertical,115.279886,-63.37,0.0,top
J5,Conn_01x06,PinHeader_2x03_P2.54mm_Vertical,61.939886,-64.005,0.0,top
LDO1,PQ3RD23,TO-220-4_Vertical,76.491886,-99.11,0.0,top
R1,160,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,121.098386,-77.848,0.0,top
R10,22k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,111.596886,-84.452,0.0,top
R11,330,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,104.230886,-89.278,-90.0,top
R12,22k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,101.436886,-84.452,0.0,top
R13,330,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,94.070886,-89.278,-90.0,top
R14,22k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.022886,-84.452,0.0,top
R15,330,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,83.783886,-89.278,-90.0,top
R16,22k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,80.989886,-84.452,0.0,top
R17,330,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,73.623886,-89.278,-90.0,top
R18,22k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,70.829886,-84.452,0.0,top
R19,330,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,61.939886,-89.1275,-90.0,top
R2,160,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,121.098386,-79.88,0.0,top
R20,22k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,60.669886,-84.452,0.0,top
R21,330,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,53.430886,-89.278,-90.0,top
R22,22k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,50.509886,-84.452,0.0,top
R23,330,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,45.937886,-81.023,-90.0,top
R24,22k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,44.159886,-78.102,0.0,top
R3,22k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,136.361886,-78.102,180.0,top
R4,330,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,136.742886,-86.738,0.0,top
R5,330,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,133.440886,-89.151,-90.0,top
R6,22k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,130.011886,-84.452,180.0,top
R7,330,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,124.677886,-89.278,-90.0,top
R8,22k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,121.733386,-84.452,0.0,top
R9,330,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,114.390886,-89.2545,-90.0,top
ToF1,~,VL6180X,115.279886,-53.718,180.0,top
ToF2,~,VL6180X,61.939886,-53.718,180.0,top
color1,~,TCS34725,91.784886,-63.37,180.0,bottom
color2,~,TCS34725,86.196886,-63.37,0.0,bottom
