Comment,Designator,Footprint,LCSC
PWR OUT,J4,JST_VH_B5P-VH_1x05_P3.96mm_Vertical,
220,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
R_Small,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
XT30,J1,AMASS_XT30U-M_1x02_P5.0mm_Vertical,
Q_NMOS_GDS,Q2,TO-220-3_Vertical,
ATtiny85-20P,U1,DIP-8_W7.62mm,
Voltmeter_DC_XH,MES1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,
3557-15,F1,3557-15_KEY,
Power Switch,J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,
Conn_01x02_Pin,J2,PinHeader_1x02_P2.54mm_Vertical,
R_Small,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
1k,R5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
~,LT8640-1,LT8640,
1000u,C3,CP_Radial_D8.0mm_P3.50mm,
D_Shockley,D1,D_DO-201AD_P12.70mm_Horizontal,
RED,D3,LED_D5.0mm_Horizontal_O3.81mm_Z3.0mm,
Conn_01x02_Pin,FAN1,PinHeader_1x02_P2.54mm_Vertical,
~,LT8640-2,LT8640,
~,LT8640-3,LT8640,
